Occurrence_year,Homicide_Type,Occurrence_Date,Neighbourhood,Lat,Long
2017,Shooting,2017-07-23T04:00:00.000Z,Malvern (132),43.810276,-79.2105103
2017,Shooting,2017-07-30T04:00:00.000Z,Yorkdale-Glen Park (31),43.7140884,-79.4547501
2017,Shooting,2017-07-31T04:00:00.000Z,Moss Park (73),43.6545258,-79.3694611
2017,Shooting,2017-08-01T04:00:00.000Z,Humewood-Cedarvale (106),43.6861954,-79.4208679
2017,Stabbing,2017-07-31T04:00:00.000Z,Broadview North (57),43.6895103,-79.3536606
2017,Stabbing,2017-08-17T04:00:00.000Z,Black Creek (24),43.759285,-79.5079269
2017,Other,2017-05-22T04:00:00.000Z,North Riverdale (68),43.6670952,-79.345192
2017,Shooting,2017-08-20T04:00:00.000Z,University (79),43.656723,-79.406517
2017,Stabbing,2017-08-22T04:00:00.000Z,Glenfield-Jane Heights (25),43.7491493,-79.515686
2017,Shooting,2017-08-31T04:00:00.000Z,Downsview-Roding-CFB (26),43.7198334,-79.5138016
2017,Shooting,2017-09-02T04:00:00.000Z,Elms-Old Rexdale (5),43.7276535,-79.5495377
2017,Stabbing,2017-09-06T04:00:00.000Z,Eglinton East (138),43.73946,-79.2455292
2017,Stabbing,2017-09-13T04:00:00.000Z,Henry Farm (53),43.7693024,-79.3431091
2017,Shooting,2017-09-14T04:00:00.000Z,Dorset Park (126),43.7689018,-79.285553
2017,Shooting,2017-09-16T04:00:00.000Z,Cabbagetown-South St.James Town (71),43.6634293,-79.3603287
2017,Shooting,2017-09-16T04:00:00.000Z,Bay Street Corridor (76),43.6480103,-79.3863678
2017,Stabbing,2017-09-10T04:00:00.000Z,Birchcliffe-Cliffside (122),43.6981697,-79.2644653
2017,Shooting,2017-09-29T04:00:00.000Z,Downsview-Roding-CFB (26),43.7198334,-79.5138016
2017,Shooting,2017-10-01T04:00:00.000Z,South Riverdale (70),43.6430931,-79.3506165
2017,Shooting,2017-10-01T04:00:00.000Z,South Riverdale (70),43.6430931,-79.3506165
2017,Shooting,2017-10-05T04:00:00.000Z,Kingsview Village-The Westway (6),43.6944733,-79.5484695
2017,Other,2017-10-04T04:00:00.000Z,Rexdale-Kipling (4),43.7265511,-79.5702362
2017,Stabbing,2017-10-07T04:00:00.000Z,Woodbine-Lumsden (60),43.6975288,-79.3159485
2017,Shooting,2017-10-08T04:00:00.000Z,Kingsview Village-The Westway (6),43.6987343,-79.5522308
2017,Shooting,2017-10-14T04:00:00.000Z,Humber Summit (21),43.751442,-79.5529861
2017,Stabbing,2017-10-20T04:00:00.000Z,Thorncliffe Park (55),43.7074776,-79.3436279
2017,Other,2017-10-13T04:00:00.000Z,Dovercourt-Wallace Emerson-Junction (93),43.6677628,-79.4254379
2017,Stabbing,2017-10-28T04:00:00.000Z,Victoria Village (43),43.7159882,-79.3049393
2017,Stabbing,2017-11-14T05:00:00.000Z,Weston (113),43.7010422,-79.5194016
2017,Shooting,2017-11-21T05:00:00.000Z,Rouge (131),43.813343,-79.2017746
2017,Shooting,2017-12-04T05:00:00.000Z,Scarborough Village (139),43.7417946,-79.2251663
2017,Other,2017-11-29T05:00:00.000Z,Church-Yonge Corridor (75),43.6667061,-79.3813629
2017,Other,2017-12-06T05:00:00.000Z,Centennial Scarborough (133),43.7764626,-79.1505432
2017,Shooting,2017-11-13T05:00:00.000Z,Regent Park (72),43.6594429,-79.3660126
2017,Other,2017-12-12T05:00:00.000Z,Malvern (132),43.8118591,-79.2112122
2017,Shooting,2017-12-16T05:00:00.000Z,Waterfront Communities-The Island (77),43.6478386,-79.3707886
2017,Other,2017-12-31T05:00:00.000Z,Thorncliffe Park (55),43.7080193,-79.3413849
2017,Other,2017-12-31T05:00:00.000Z,Thorncliffe Park (55),43.7080193,-79.3413849
2017,Other,2017-12-15T05:00:00.000Z,St.Andrew-Windfields (40),43.7578926,-79.3821793
2017,Other,2017-12-15T05:00:00.000Z,St.Andrew-Windfields (40),43.7578926,-79.3821793
2017,Shooting,2017-01-08T05:00:00.000Z,Moss Park (73),43.6548576,-79.3679428
2017,Shooting,2017-01-23T05:00:00.000Z,Humber Summit (21),43.7559853,-79.5704193
2017,Other,2017-01-26T05:00:00.000Z,Mimico (includes Humber Bay Shores) (17),43.6120872,-79.5158234
2017,Shooting,2017-01-30T05:00:00.000Z,Moss Park (73),43.6516075,-79.3710785
2017,Shooting,2017-01-30T05:00:00.000Z,Cabbagetown-South St.James Town (71),43.6629715,-79.3623352
2017,Shooting,2017-02-01T05:00:00.000Z,Glenfield-Jane Heights (25),43.7548561,-79.5170746
2017,Shooting,2017-02-05T05:00:00.000Z,Danforth (66),43.6828117,-79.3429718
2017,Shooting,2017-02-06T05:00:00.000Z,Elms-Old Rexdale (5),43.7165527,-79.5523682
2017,Other,2017-02-06T05:00:00.000Z,Willowdale West (37),43.7748947,-79.4155807
2017,Other,2017-02-16T05:00:00.000Z,O'Connor-Parkview (54),43.7022209,-79.297287
2017,Shooting,2017-02-25T05:00:00.000Z,Thorncliffe Park (55),43.7074776,-79.3436279
2017,Shooting,2017-03-16T04:00:00.000Z,Rouge (131),43.8102036,-79.1846695
2017,Shooting,2017-03-18T04:00:00.000Z,Taylor-Massey (61),43.7016792,-79.2954559
2017,Shooting,2017-03-31T04:00:00.000Z,Humber Heights-Westmount (8),43.6912231,-79.519722
2017,Shooting,2017-04-14T04:00:00.000Z,L'Amoreaux (117),43.7974548,-79.3309326
2017,Shooting,2017-04-14T04:00:00.000Z,South Riverdale (70),43.6600876,-79.3444595
2017,Shooting,2017-04-21T04:00:00.000Z,Briar Hill-Belgravia (108),43.6979179,-79.4511414
2017,Other,2017-03-04T05:00:00.000Z,North Riverdale (68),43.6654854,-79.3554077
2017,Shooting,2017-05-22T04:00:00.000Z,North Riverdale (68),43.6670952,-79.345192
2017,Other,2017-06-07T04:00:00.000Z,Beechborough-Greenbrook (112),43.6883698,-79.4828796
2017,Shooting,2017-06-11T04:00:00.000Z,Humbermede (22),43.7476883,-79.5572815
2017,Stabbing,2017-06-23T04:00:00.000Z,Dovercourt-Wallace Emerson-Junction (93),43.6672173,-79.4441757
2017,Shooting,2017-07-02T04:00:00.000Z,Regent Park (72),43.66045,-79.364769
2017,Shooting,2017-07-23T04:00:00.000Z,Rouge (131),43.8133163,-79.1991959
2017,Shooting,2017-07-23T04:00:00.000Z,Rouge (131),43.8133163,-79.1991959
