occurrencedate,offence,occurrencedayofweek,occurrencehour,MCI,Neighbourhood,Lat,Long,  
2017-01-01T05:00:00.000Z,B&E,Sunday    ,1,Break and Enter,Danforth East York (59),43.6875381,-79.3481064,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,1,Assault,Waterfront Communities-The Island (77),43.6453743,-79.3920593,
2017-01-01T05:00:00.000Z,B&E,Sunday    ,1,Break and Enter,Danforth East York (59),43.6875381,-79.3481064,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,4,Assault,Brookhaven-Amesbury (30),43.6952248,-79.4876251,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,3,Assault,Downsview-Roding-CFB (26),43.7166977,-79.5276794,
2017-01-01T05:00:00.000Z,Assault Peace Officer,Sunday    ,8,Assault,Woodbine Corridor (64),43.6688919,-79.3176498,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,4,Assault,Stonegate-Queensway (16),43.6400986,-79.4902115,
2017-01-01T05:00:00.000Z,Assault Bodily Harm,Sunday    ,4,Assault,Stonegate-Queensway (16),43.6400986,-79.4902115,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,18,Assault,Moss Park (73),43.6515694,-79.3627396,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,19,Assault,Woburn (137),43.7797546,-79.2171402,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Waterfront Communities-The Island (77),43.6475716,-79.3884048,
2017-01-01T05:00:00.000Z,Robbery With Weapon,Sunday    ,21,Robbery,Dovercourt-Wallace Emerson-Junction (93),43.6672173,-79.4441757,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Junction Area (90),43.6654282,-79.465889,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Waterfront Communities-The Island (77),43.6453743,-79.3920593,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,15,Assault,University (79),43.6581116,-79.4020233,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,9,Assault,L'Amoreaux (117),43.7989998,-79.3059845,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,9,Assault,L'Amoreaux (117),43.7989998,-79.3059845,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,0,Assault,Agincourt North (129),43.7983589,-79.2705688,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Church-Yonge Corridor (75),43.6590996,-79.3821182,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Church-Yonge Corridor (75),43.6590996,-79.3821182,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,0,Assault,Bay Street Corridor (76),43.6476631,-79.3848038,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,1,Assault,Cliffcrest (123),43.7111244,-79.2481842,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,3,Assault,Waterfront Communities-The Island (77),43.6449547,-79.397644,
2017-01-01T05:00:00.000Z,Assault Bodily Harm,Sunday    ,3,Assault,Waterfront Communities-The Island (77),43.6449547,-79.397644,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Annex (95),43.6638374,-79.4172134,
2017-01-01T05:00:00.000Z,Robbery With Weapon,Sunday    ,1,Robbery,O'Connor-Parkview (54),43.7080879,-79.3007736,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Bay Street Corridor (76),43.6459885,-79.3791351,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Bay Street Corridor (76),43.6459885,-79.3791351,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Downsview-Roding-CFB (26),43.7255173,-79.5132065,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,3,Assault,Malvern (132),43.8063774,-79.2138672,
2017-01-01T05:00:00.000Z,B&E,Sunday    ,4,Break and Enter,Annex (95),43.6707535,-79.3930817,
2017-01-01T05:00:00.000Z,Robbery - Swarming,Sunday    ,3,Robbery,Dovercourt-Wallace Emerson-Junction (93),43.6617393,-79.426857,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,5,Assault,Regent Park (72),43.66045,-79.364769,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,19,Assault,Church-Yonge Corridor (75),43.6613731,-79.38311,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,19,Assault,Church-Yonge Corridor (75),43.6613731,-79.38311,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,19,Assault,Church-Yonge Corridor (75),43.6613731,-79.38311,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,14,Assault,Glenfield-Jane Heights (25),43.7524185,-79.5168991,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,18,Assault,Mimico (includes Humber Bay Shores) (17),43.6161232,-79.4953156,
2017-01-01T05:00:00.000Z,Robbery - Mugging,Sunday    ,2,Robbery,Danforth (66),43.6833687,-79.3236389,
2017-01-01T05:00:00.000Z,Assault Bodily Harm,Sunday    ,1,Assault,Malvern (132),43.8055801,-79.2209244,
2017-01-01T05:00:00.000Z,Assault Bodily Harm,Sunday    ,0,Assault,South Riverdale (70),43.6430931,-79.3506165,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,3,Assault,Clairlea-Birchmount (120),43.7092819,-79.2961884,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Kensington-Chinatown (78),43.6523132,-79.4060211,
2017-01-01T05:00:00.000Z,Robbery With Weapon,Sunday    ,4,Robbery,Woburn (137),43.7817497,-79.2338943,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,2,Assault,Palmerston-Little Italy (80),43.654911,-79.4202728,
2017-01-01T05:00:00.000Z,Aggravated Assault,Sunday    ,4,Assault,Lambton Baby Point (114),43.6638908,-79.5034866,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,6,Assault,Little Portugal (84),43.6485901,-79.4332123,
2017-01-01T05:00:00.000Z,Robbery - Mugging,Sunday    ,5,Robbery,Taylor-Massey (61),43.6920013,-79.3021164,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,5,Assault,Bay Street Corridor (76),43.6498947,-79.380806,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,7,Assault,Bayview Village (52),43.7716484,-79.3641357,
2017-01-01T05:00:00.000Z,Robbery With Weapon,Sunday    ,0,Robbery,Willowdale East (51),43.7795563,-79.4062576,
2017-01-01T05:00:00.000Z,Aggravated Assault,Sunday    ,0,Assault,Willowdale East (51),43.7795563,-79.4062576,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,0,Assault,Waterfront Communities-The Island (77),43.6453743,-79.3920593,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,0,Assault,Waterfront Communities-The Island (77),43.6453743,-79.3920593,
2017-01-01T05:00:00.000Z,Assault Peace Officer,Sunday    ,2,Assault,Palmerston-Little Italy (80),43.654953,-79.4156036,
2017-01-01T05:00:00.000Z,Assault Peace Officer,Sunday    ,2,Assault,Palmerston-Little Italy (80),43.654953,-79.4156036,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,1,Assault,Waterfront Communities-The Island (77),43.6453743,-79.3920593,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Bay Street Corridor (76),43.6459846,-79.3827209,
2017-01-01T05:00:00.000Z,Discharge Firearm With Intent,Sunday    ,4,Assault,Humber Summit (21),43.7533379,-79.5427094,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,2,Assault,Waterfront Communities-The Island (77),43.6454735,-79.3950424,
2017-01-01T05:00:00.000Z,B&E,Sunday    ,6,Break and Enter,Yorkdale-Glen Park (31),43.7182617,-79.4556808,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,18,Assault,Banbury-Don Mills (42),43.7293587,-79.3283997,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,20,Assault,Humbermede (22),43.7427292,-79.5403366,
2017-01-01T05:00:00.000Z,B&E,Sunday    ,22,Break and Enter,Bay Street Corridor (76),43.6486511,-79.3802795,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,3,Assault,Newtonbrook East (50),43.7946243,-79.4192123,
2017-01-01T05:00:00.000Z,Theft Over,Sunday    ,18,Theft Over,Islington-City Centre West (14),43.6472054,-79.5255127,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,0,Assault,Rouge (131),43.8044472,-79.1641464,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,0,Assault,Waterfront Communities-The Island (77),43.6439285,-79.4027023,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,6,Assault,Downsview-Roding-CFB (26),43.7327995,-79.4803925,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,6,Assault,Downsview-Roding-CFB (26),43.7327995,-79.4803925,
2017-01-01T05:00:00.000Z,Robbery - Mugging,Sunday    ,4,Robbery,Church-Yonge Corridor (75),43.6586685,-79.3819275,
2017-01-01T05:00:00.000Z,Assault With Weapon,Sunday    ,0,Assault,Bendale (127),43.7736168,-79.2611313,
2017-01-01T05:00:00.000Z,Assault Bodily Harm,Sunday    ,0,Assault,Bendale (127),43.7736168,-79.2611313,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,0,Assault,Bendale (127),43.7736168,-79.2611313,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Church-Yonge Corridor (75),43.6621399,-79.3834229,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Church-Yonge Corridor (75),43.6621399,-79.3834229,
2017-01-01T05:00:00.000Z,Robbery - Mugging,Sunday    ,1,Robbery,Church-Yonge Corridor (75),43.6639061,-79.3841553,
2017-01-01T05:00:00.000Z,Robbery - Mugging,Sunday    ,1,Robbery,Church-Yonge Corridor (75),43.6639061,-79.3841553,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,2,Assault,Trinity-Bellwoods (81),43.6439819,-79.4200058,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,4,Assault,Greenwood-Coxwell (65),43.67799,-79.3309631,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,9,Assault,East End-Danforth (62),43.6781273,-79.301178,
2017-01-01T05:00:00.000Z,Robbery - Purse Snatch,Sunday    ,14,Robbery,North St.James Town (74),43.6712799,-79.3754196,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,3,Assault,Bay Street Corridor (76),43.6498947,-79.380806,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,16,Assault,Dovercourt-Wallace Emerson-Junction (93),43.6570549,-79.4489365,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,3,Assault,Weston (113),43.7077866,-79.5336304,
2017-01-01T05:00:00.000Z,B&E W'Intent,Sunday    ,19,Break and Enter,Islington-City Centre West (14),43.6161079,-79.5569611,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,23,Assault,Stonegate-Queensway (16),43.6337204,-79.5068741,
2017-01-01T05:00:00.000Z,Assault,Sunday    ,1,Assault,Church-Yonge Corridor (75),43.6590996,-79.3821182,
